"16","RAW LIVER","2","0","SECRET ROOM","HP","BROWN","ALWAYS UNLOCKED","REBIRTH"
"17","SKELETON KEY","3","0","ITEM ROOM,SECRET ROOM","KEYS","GREY","ALWAYS UNLOCKED","REBIRTH"
"18","A DOLLAR","3","0","UNIQUE","MONEY","GREEN","ALWAYS UNLOCKED","REBIRTH"
"19","BOOM!","0","0","ITEM ROOM","BOMBS","GREY","ALWAYS UNLOCKED","REBIRTH"
"20","TRANSCENDENCE","3","0","SECRET ROOM","FLY","BROWN","ALWAYS UNLOCKED","REBIRTH"
"21","THE COMPASS","2","0","SHOP,BEGGAR","MAP","RED","ALWAYS UNLOCKED","REBIRTH"
"22","LUNCH","1","0","BOSS ROOM,CHALLENGE ROOM,BEGGAR","HP","BROWN","ALWAYS UNLOCKED","REBIRTH"
"23","DINNER","1","0","BOSS ROOM,BEGGAR,CHALLENGE ROOM","HP","BROWN","ALWAYS UNLOCKED","REBIRTH"
"24","DESSERT","1","0","BOSS ROOM,BEGGAR,CHALLENGE ROOM","HP","BROWN","ALWAYS UNLOCKED","REBIRTH"
"25","BREAKFAST","1","0","BOSS ROOM,BEGGAR,CHALLENGE ROOM","HP","WHITE","ALWAYS UNLOCKED","REBIRTH"
"26","ROTTEN MEAT","1","0","BOSS ROOM,BEGGAR,CHALLENGE ROOM","HP","GREEN,WHITE","ALWAYS UNLOCKED","REBIRTH"
"27","WOODEN SPOON","1","0","BOOS ROOM","SPEED","BROWN","ALWAYS UNLOCKED","REBIRTH"
"28","THE BELT","1","0","BOSS ROOM,GOLD/STONE CHEST","SPEED","BROWN","ALWAYS UNLOCKED","REBIRTH"
"29","MOM'S UNDERWEAR","1","0","BOSS ROOM,CHALLENGE ROOM,GOLD/STONE CHEST,MOM'S CHEST","RANGE,FLIES","PINK","ALWAYS UNLOCKED","REBIRTH"
"30","MOM'S HEELS","1","0","BOSS ROOM,CHALLENGE ROOM, MOM'S CHEST","RANGE,CONTACT DAMAGE","RED","ALWAYS UNLOCKED","REBIRTH"
"31","MOM'S LIPSTICK","1","0","BOSS ROOM,CHALLENGE ROOM,MOM'S CHEST","RANGE,HEARTS","RED,GREY","ALWAYS UNLOCKED","REBIRTH"
"32","WIRE COAT HANGER","3","0","BOSS ROOM,GOLD/STONE CHEST","TEARS","BLACK","ALWAYS UNLOCKED","REBIRTH"
"33","THE BIBLE","1","1","SHOP,LIBRARY,ANGEL ROOM","FLY","BROWN","ALWAYS UNLOCKED","REBIRTH"
"34","THE BOOK OF BELIAL","2","1","LIBRARY,DEVIL ROOM","DAMAGE","BLACK,GREY","ALWAYS UNLOCKED","REBIRTH"
"35","THE NECRONOMICON","1","1","LIBRARY,SECRET ROOM,DEVIL ROOM","DAMAGE","BROWN","GAME PROGRESS","REBIRTH"
"36","THE POOP","0","1","ITEM ROOM","POOP","BROWN","ALWAYS UNLOCKED","REBIRTH"
"37","MR. BOOM","1","1","ITEM ROOM,WRATH MINIBOSS,BOMB BEGGAR","BOOM","GREY","ALWAYS UNLOCKED","REBIRTH"
"38","TAMMY'S HEAD","2","1","ITEM ROOM,GOLD CHEST","TEARS","WHITE","ALWAYS UNLOCKED","REBIRTH"
"39","MOM'S BRA","1","1","ITEM ROOM,CHALLENGE ROOM,MOM'S CHEST","FREEZES","WHITE,BROWN","ALWAYS UNLOCKED","REBIRTH"
"40","KAMIKAZE!","0","1","ITEM ROOM","BOOM","RED","ALWAYS UNLOCKED","REBIRTH"
